food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
olive,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Fruits and Fruit Juices
bread,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Baked Products
cheese,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Dairy and Egg Products
wine,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Beverages
fruit,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Baby Foods
egg,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Dairy and Egg Products
chicken,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Poultry Products
drink,2,granata,1,2,a little less shitty,2020-02-17,2020,2,
beer,2,granata,1,2,a little less shitty,2020-02-17,2020,2,Beverages
pit,1,granata,1,1,a little less shitty,2020-02-17,2020,2,
papaya,1,granata,1,1,a little less shitty,2020-02-17,2020,2,Fruits and Fruit Juices
olive bread,1,granata,-1,-1,a little less shitty,2020-02-17,2020,2,
bread cheese,1,granata,-1,-1,a little less shitty,2020-02-17,2020,2,
cherry,1,granata,1,1,all goes awry,2020-02-17,2020,2,Fruits and Fruit Juices
coffee,1,granata,1,1,all goes awry,2020-02-17,2020,2,Beverages
raspberry,1,granata,1,1,all goes awry,2020-02-17,2020,2,Fruits and Fruit Juices
beer,1,granata,1,1,all goes awry,2020-02-17,2020,2,Beverages
salt,4,granata,1,4,beach day,2018-11-16,2018,11,Spices and Herbs
cocktail,1,granata,1,1,bed and a desk,2020-06-15,2020,6,"Soups, Sauces, and Gravies"
frosted,1,granata,1,1,bed and a desk,2020-06-15,2020,6,
beer,1,granata,1,1,bed and a desk,2020-06-15,2020,6,Beverages
drink,2,granata,1,2,bed and a desk,2020-06-15,2020,6,
food,1,granata,1,1,bed and a desk,2020-06-15,2020,6,
lemon,2,granata,1,2,bed and a desk,2020-06-15,2020,6,Beverages
bacon,1,granata,1,1,bed and a desk,2020-06-15,2020,6,Pork Products
nut,1,granata,1,1,bindle and a stick,2016-10-19,2016,10,Nut and Seed Products
couscous,1,granata,1,1,bindle and a stick,2016-10-19,2016,10,Cereal Grains and Pasta
scotch,1,granata,1,1,bindle and a stick,2016-10-19,2016,10,
water,1,granata,1,1,bindle and a stick,2016-10-19,2016,10,Beverages
drinking,1,granata,1,1,birthday blues,2017-05-22,2017,5,Beverages
goose,1,granata,1,1,birthday blues,2017-05-22,2017,5,Poultry Products
pantry,1,granata,1,1,birthday blues,2017-05-22,2017,5,
drink,1,granata,1,1,birthday blues,2017-05-22,2017,5,
gin,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,
seltzer,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,
shrimp,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,Finfish and Shellfish Products
chicken,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,Poultry Products
goat,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,Dairy and Egg Products
lamb,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,"Lamb, Veal, and Game Products"
strawberry,1,granata,1,1,cardboard boxes,2020-02-17,2020,2,Dairy and Egg Products
