food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
meal,1,young scooter,1,1,made it through the struggle,2013-01-01,2013,1,Baked Products
coffee,1,mac dre,1,1,all damn day,0,0,0,Beverages
zesty,1,mac dre,1,1,all damn day,0,0,0,
chocolate,1,mac dre,1,1,all damn day,0,0,0,Sweets
nestle,1,mac dre,1,1,all damn day,0,0,0,Sweets
hamburger,1,mac dre,1,1,all damn day,0,0,0,Fast Foods
steak,1,mac dre,1,1,all damn day,0,0,0,Beef Products
lobster,1,mac dre,1,1,all damn day,0,0,0,Finfish and Shellfish Products
drink,1,mac dre,1,1,all it takes,1998-04-28,1998,4,
sardine,1,mac dre,1,1,all it takes,1998-04-28,1998,4,Finfish and Shellfish Products
prawn,1,mac dre,1,1,all it takes,1998-04-28,1998,4,
garlic,1,mac dre,1,1,all it takes,1998-04-28,1998,4,Vegetables and Vegetable Products
bread,2,mac dre,1,2,all it takes,1998-04-28,1998,4,Baked Products
nut,1,mac dre,1,1,all it takes,1998-04-28,1998,4,Nut and Seed Products
butter,1,mac dre,1,1,all it takes,1998-04-28,1998,4,Dairy and Egg Products
sauce,1,mac dre,1,1,all it takes,1998-04-28,1998,4,"Soups, Sauces, and Gravies"
caper,1,mac dre,1,1,all it takes,1998-04-28,1998,4,Spices and Herbs
garlic bread,1,mac dre,-1,-1,all it takes,1998-04-28,1998,4,Baked Products
butter sauce,1,mac dre,-1,-1,all it takes,1998-04-28,1998,4,
dough,1,mac dre,1,1,andre-n-andre,0,0,0,
pancake,1,mac dre,1,1,andre-n-andre,0,0,0,Baked Products
syrup,1,mac dre,1,1,andre-n-andre,0,0,0,Sweets
cherry,2,andre nickatina,1,2,andre-n-andre,0,0,0,Fruits and Fruit Juices
lemon,1,andre nickatina,1,1,andre-n-andre,0,0,0,Beverages
lime,1,andre nickatina,1,1,andre-n-andre,0,0,0,Sweets
candy,1,andre nickatina,1,1,andre-n-andre,0,0,0,Sweets
spicy,1,andre nickatina,1,1,andre-n-andre,0,0,0,
prawn,1,andre nickatina,1,1,andre-n-andre,0,0,0,
pie,1,andre nickatina,1,1,andre-n-andre,0,0,0,Baked Products
pancake syrup,1,mac dre,-1,-1,andre-n-andre,0,0,0,
lemon lime,1,andre nickatina,-1,-1,andre-n-andre,0,0,0,
cherry pie,1,andre nickatina,-1,-1,andre-n-andre,0,0,0,
pit,1,cutthoat committee,1,1,cutthoat committee,0,0,0,
cabbage,1,cutthoat committee,1,1,cutthoat committee,0,0,0,Vegetables and Vegetable Products
nut,1,mac dre,1,1,dipped when you see me,2003-11-04,2003,11,Nut and Seed Products
prawn,1,mac dre,1,1,dipped when you see me,2003-11-04,2003,11,
