food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
homemade,1,rick ross,1,1,bill gates,2015-09-03,2015,9,Cereal Grains and Pasta
lime,1,rick ross,1,1,bill gates,2015-09-03,2015,9,Sweets
pie,1,rick ross,1,1,bill gates,2015-09-03,2015,9,Baked Products
lobster,1,rick ross,1,1,bill gates,2015-09-03,2015,9,Finfish and Shellfish Products
restaurant,1,rick ross,1,1,bill gates,2015-09-03,2015,9,Restaurant Foods
key lime,1,rick ross,1,1,bill gates,2015-09-03,2015,9,
food,1,rick ross,1,1,billionaire,2008-03-11,2008,3,
popeyes,1,rick ross,1,1,billionaire,2008-03-11,2008,3,Fast Foods
dough,1,rick ross,1,1,bird bath,2007-09-18,2007,9,
rib,1,rick ross,1,1,bird bath,2007-09-18,2007,9,Beef Products
herb,1,noah,1,1,bird bath,2007-09-18,2007,9,Beverages
crab,1,noah,1,1,bird bath,2007-09-18,2007,9,Finfish and Shellfish Products
ice,1,noah,1,1,bird bath,2007-09-18,2007,9,
mm,2,smokepurpp,1,2,big dawg,2020-06-17,2020,6,
mm,2,rick ross,1,2,big dawg,2020-06-17,2020,6,
ice,2,rick ross,1,2,big dawg,2020-06-17,2020,6,
tequila,1,rick ross,1,1,birthday,2012-10-08,2012,10,
cupcake,1,rick ross,1,1,birthday,2012-10-08,2012,10,
yam,1,2 chainz,1,1,birthday,2012-10-08,2012,10,Vegetables and Vegetable Products
cake,26,flo rida,1,26,birthday,0,0,0,Baked Products
bacon,1,flo rida,1,1,birthday,0,0,0,Pork Products
raisin,1,flo rida,1,1,birthday,0,0,0,Baked Products
soup,1,flo rida,1,1,birthday,0,0,0,"Soups, Sauces, and Gravies"
ice,1,flo rida,1,1,birthday,0,0,0,
tequila,1,rick ross,1,1,birthday (remix),0,0,0,
cupcake,1,rick ross,1,1,birthday (remix),0,0,0,
yam,1,rick ross,1,1,birthday (remix),0,0,0,Vegetables and Vegetable Products
cake,20,flo rida,1,20,birthday (welcome to florida version),0,0,0,Baked Products
cake,1,torch,1,1,birthday (welcome to florida version),0,0,0,Baked Products
rose,1,flo rida,1,1,birthday (welcome to florida version),0,0,0,Beverages
beef,1,rick ross,1,1,birthday (welcome to florida version),0,0,0,Beef Products
betty crocker,2,flo rida,2,4,birthday (welcome to florida version),0,0,0,
rose,1,rick ross,1,1,"bitch, don't kill my vibe (remix)",2013-01-01,2013,1,Beverages
cheddar,1,rick ross,1,1,"bitch, don't kill my vibe (remix)",2013-01-01,2013,1,Dairy and Egg Products
champagne,1,rick ross,1,1,"bitch, don't kill my vibe (remix)",2013-01-01,2013,1,
